subj,phase,block,TT,T_Y_cong,Y_colour,accuracy,RT
1,1,1,repeated,"NA",0,1,2164
1,1,1,repeated,"NA",0,1,920
1,1,1,repeated,"NA",0,1,1685
1,1,1,repeated,"NA",0,1,1379
1,1,2,repeated,"NA",0,1,622
1,1,2,repeated,"NA",0,1,1697
1,1,2,repeated,"NA",0,1,1367
1,1,2,repeated,"NA",0,1,1531
1,1,3,repeated,"NA",0,1,1408
1,1,3,repeated,"NA",0,1,1890
1,1,3,repeated,"NA",0,1,1474
1,1,3,repeated,"NA",0,1,810
1,1,4,repeated,"NA",0,1,1451
1,1,4,repeated,"NA",0,1,661
1,1,4,repeated,"NA",0,1,621
1,1,4,repeated,"NA",0,1,1088
1,1,5,repeated,"NA",0,1,673
1,1,5,repeated,"NA",0,1,593
1,1,5,repeated,"NA",0,1,1012
1,1,5,repeated,"NA",0,1,1055
1,1,6,repeated,"NA",0,1,544
1,1,6,repeated,"NA",0,1,854
1,1,6,repeated,"NA",0,1,575
1,1,6,repeated,"NA",0,1,1309
1,1,7,repeated,"NA",0,1,1395
1,1,7,repeated,"NA",0,1,1606
1,1,7,repeated,"NA",0,1,864
1,1,7,repeated,"NA",0,1,593
1,1,8,repeated,"NA",0,1,733
1,1,8,repeated,"NA",0,1,595
1,1,8,repeated,"NA",0,1,1264
1,1,8,repeated,"NA",0,1,1079
1,1,9,repeated,"NA",0,1,607
1,1,9,repeated,"NA",0,1,1059
1,1,9,repeated,"NA",0,1,587
1,1,9,repeated,"NA",0,1,1551
1,1,10,repeated,"NA",0,1,1003
1,1,10,repeated,"NA",0,1,1040
1,1,10,repeated,"NA",0,1,576
1,1,10,repeated,"NA",0,1,589
1,1,11,repeated,"NA",0,1,673
1,1,11,repeated,"NA",0,1,650
1,1,11,repeated,"NA",0,1,1372
1,1,11,repeated,"NA",0,1,1464
1,1,12,repeated,"NA",0,1,576
1,1,12,repeated,"NA",0,1,605
1,1,12,repeated,"NA",0,1,1296
1,1,12,repeated,"NA",0,1,1165
1,1,13,repeated,"NA",0,1,1475
1,1,13,repeated,"NA",0,1,1323
1,1,13,repeated,"NA",0,1,551
1,1,13,repeated,"NA",0,1,902
1,1,14,repeated,"NA",0,1,1221
1,1,14,repeated,"NA",0,1,592
1,1,14,repeated,"NA",0,1,853
1,1,14,repeated,"NA",0,1,564
1,1,15,repeated,"NA",0,1,563
1,1,15,repeated,"NA",0,1,927
1,1,15,repeated,"NA",0,1,517
1,1,15,repeated,"NA",0,1,1100
1,1,16,repeated,"NA",0,1,899
1,1,16,repeated,"NA",0,1,579
1,1,16,repeated,"NA",0,1,711
1,1,16,repeated,"NA",0,1,807
1,1,17,repeated,"NA",0,1,608
1,1,17,repeated,"NA",0,1,980
1,1,17,repeated,"NA",0,1,792
1,1,17,repeated,"NA",0,1,1333
1,1,18,repeated,"NA",0,1,988
1,1,18,repeated,"NA",0,0,973
1,1,18,repeated,"NA",0,1,752
1,1,18,repeated,"NA",0,1,1300
1,1,19,repeated,"NA",0,1,757
1,1,19,repeated,"NA",0,1,1130
1,1,19,repeated,"NA",0,1,1110
1,1,19,repeated,"NA",0,1,709
1,1,20,repeated,"NA",0,1,1013
1,1,20,repeated,"NA",0,1,1655
1,1,20,repeated,"NA",0,1,656
1,1,20,repeated,"NA",0,1,745
1,1,21,repeated,"NA",0,1,1110
1,1,21,repeated,"NA",0,1,589
1,1,21,repeated,"NA",0,1,698
1,1,21,repeated,"NA",0,1,601
1,1,22,repeated,"NA",0,1,1547
1,1,22,repeated,"NA",0,1,1665
1,1,22,repeated,"NA",0,1,616
1,1,22,repeated,"NA",0,1,556
1,1,23,repeated,"NA",0,1,1322
1,1,23,repeated,"NA",0,1,559
1,1,23,repeated,"NA",0,1,509
1,1,23,repeated,"NA",0,1,1067
1,1,24,repeated,"NA",0,1,572
1,1,24,repeated,"NA",0,0,593
1,1,24,repeated,"NA",0,1,641
1,1,24,repeated,"NA",0,1,875
1,1,25,repeated,"NA",0,1,555
1,1,25,repeated,"NA",0,1,1114
1,1,25,repeated,"NA",0,1,1280
1,1,25,repeated,"NA",0,1,600
1,1,26,repeated,"NA",0,1,1161
1,1,26,repeated,"NA",0,1,932
1,1,26,repeated,"NA",0,1,571
1,1,26,repeated,"NA",0,1,543
1,1,27,repeated,"NA",0,1,485
1,1,27,repeated,"NA",0,1,862
1,1,27,repeated,"NA",0,1,1438
1,1,27,repeated,"NA",0,1,513
1,1,28,repeated,"NA",0,1,1142
