subj,TT,RT
1,repeated,504.32
1,random,511.19354838709677
5,repeated,847.1612903225806
5,random,768.9677419354839
6,repeated,614.53125
6,random,648.6666666666666
7,repeated,640.7540983606557
7,random,635.2926829268292
8,repeated,480.848
8,random,477.76984126984127
9,repeated,602.991452991453
9,random,619.3548387096774
10,repeated,575.1984126984127
10,random,575.171875
12,repeated,571.6171875
12,random,577.256
13,repeated,550.1338582677165
13,random,574.1889763779527
15,repeated,631.032
15,random,615.578125
16,repeated,718.6666666666666
16,random,784.6190476190476
17,repeated,604.552
17,random,602.2047244094488
18,repeated,476.8174603174603
18,random,462.35483870967744
19,repeated,570.1219512195122
19,random,540.5619834710744
20,repeated,890.4873949579832
20,random,917.034188034188
