subj,repeated_congruent,repeated_incongruent,random_congruent,random_incongruent
1,504.1803278688525,504.453125,511.2903225806452,511.0967741935484
10,582.625,567.5322580645161,588.109375,562.234375
12,576.734375,566.5,590.6129032258065,564.1111111111111
13,539.7777777777778,560.328125,553.4603174603175,594.59375
14,737.5901639344262,744.8703703703703,752.3666666666667,748.5925925925926
15,624.296875,638.0983606557377,599.03125,632.125
16,757.5081967213115,680.4516129032259,820.0645161290323,750.28125
17,607.6825396825396,601.3709677419355,601.984126984127,602.421875
18,464.953125,489.06451612903226,464.88524590163934,459.9047619047619
19,543.4354838709677,597.2459016393443,528.360655737705,552.9666666666667
20,875.3103448275862,904.9180327868852,926.5272727272727,908.6129032258065
7,650.2786885245902,631.2295081967213,638.984126984127,631.4166666666666
8,472.1803278688525,489.109375,491.125,463.98387096774195
9,598.2321428571429,607.360655737705,620.327868852459,618.4126984126984
